Slug,Name,Town,Map
queen-sewell-pond,Queen Sewell Pond,Bourne,https://www.mass.gov/files/documents/2016/08/rv/dfwqueen.pdf
red-bridge-pool,Red Bridge Pool,Ludlow,https://www.mass.gov/files/documents/2016/08/ss/dfwredbr.pdf
richmond-pond,Richmond Pond,Richmond,https://www.mass.gov/files/documents/2016/10/no/dfwrichm.pdf
robbins-pond,Robbins Pond,Halifax,https://www.mass.gov/files/documents/2016/08/wi/dfwrobbi.pdf
rock-pond,Rock Pond,Georgetown,https://www.mass.gov/files/documents/2016/08/qd/dfwrockp.pdf
rocky-pond,Rocky Pond,Plymouth,https://www.mass.gov/files/documents/2018/12/20/Curlew_Pond.pdf
rocky-pond,Rocky Pond,Boylston,https://www.mass.gov/files/documents/2018/02/05/rocky_pond.pdf
russel-pond,Russel Pond,Russell,https://www.mass.gov/files/documents/2016/08/tm/dfwrusse.pdf
russels-&-sawmill-ponds,Russels & Sawmill Ponds,Plymouth,https://www.mass.gov/files/documents/2016/08/xc/dfwrusaw.pdf
sampsons-pond,Sampsons Pond,Carver,https://www.mass.gov/files/documents/2018/03/27/Sampson_pond.pdf
santuit-pond,Santuit Pond,Mashpee,https://www.mass.gov/files/documents/2018/03/27/Santuit_pond.pdf
scargo-lake,Scargo Lake,Dennis,https://www.mass.gov/files/documents/2016/08/qh/dfwscarg.pdf
schoolhouse-pond,Schoolhouse Pond,Chatham,https://www.mass.gov/files/documents/2016/08/wi/dfwschoo.pdf
seymour-pond,Seymour Pond,Brewster,https://www.mass.gov/files/documents/2016/08/ne/dfwseymo.pdf
shaw-pond,Shaw Pond,Becket,https://www.mass.gov/files/documents/2016/08/wi/dfwshawp.pdf
sheep-pond,Sheep Pond,Brewster,https://www.mass.gov/files/documents/2016/08/se/dfwsheep.pdf
sheomet-lake,Sheomet Lake,Warwick,https://www.mass.gov/files/documents/2016/08/wi/dfwsheom.pdf
shubael-pond,Shubael Pond,Barnstable,https://www.mass.gov/files/documents/2018/12/20/Shubael_Pond.pdf
silver-lake,Silver Lake,Wilmington,https://www.mass.gov/files/documents/2016/08/wi/dfwsilve.pdf
singletary-pond,Singletary Pond,Sutton,https://www.mass.gov/files/documents/2016/10/wi/dfwsingl.pdf
sluice-pond,Sluice Pond,Lynn,https://www.mass.gov/files/documents/2019/02/01/sluicepond.pdf
snake-pond,Snake Pond,Sandwich,https://www.mass.gov/files/documents/2016/08/qd/dfwsnake.pdftarget=_blank
snipatuit-pond,Snipatuit Pond,Rochester,https://www.mass.gov/files/documents/2018/02/21/snipituit.pdf
south-meadow-mossy-coachlace-ponds,South Meadow Mossy Coachlace Ponds,Clinton,ttps://www.mass.gov/files/documents/2016/08/nx/dfwsmmac.pdf
